created year : 2015,created date : 930,number of matches : 2478,number of records : 0,year : 2007,othello size : 8,match type : 0,depth : 24,padding : 0,
tournament id,dark-player id,light-player id,score,theoretical score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
222,1436,1971,45,56,5-6,6-6,6-5,4-6,3-5,7-4,3-4,6-4,7-5,8-4,4-7,3-6,5-7,3-7,7-6,5-3,8-5,2-5,2-4,4-3,2-3,2-6,3-3,3-2,1-4,1-3,7-3,1-6,1-5,2-7,3-8,5-8,1-8,1-7,8-3,7-7,6-3,6-2,8-8,6-7,7-8,6-8,2-8,8-7,8-6,7-2,4-8,7-1,8-1,8-2,6-1,5-1,4-1,5-2,4-2,2-1,3-1,1-2,1-1,2-2
222,1708,1436,27,29,5-6,6-4,3-3,3-4,4-3,4-6,5-3,3-2,2-3,3-5,2-4,6-3,4-2,5-2,2-6,2-5,3-6,1-3,3-1,4-1,5-1,1-4,1-6,6-7,1-5,6-5,1-2,6-1,6-6,2-1,6-8,5-7,5-8,4-7,3-7,3-8,7-2,7-4,7-3,6-2,7-1,8-1,8-2,7-6,7-7,1-7,1-8,8-8,2-8,7-8,2-7,4-8,7-5,8-3,8-4,8-5,8-7,8-6,2-2,1-1
222,2135,1436,43,33,5-6,6-4,5-3,4-6,3-5,6-3,3-4,2-5,3-6,6-7,6-5,6-6,5-7,4-8,6-8,5-2,7-6,7-5,4-3,8-6,7-4,8-5,8-3,3-2,6-2,3-3,5-1,4-2,7-3,2-3,4-7,8-4,8-7,3-8,4-1,3-1,2-4,1-4,1-6,1-5,2-6,1-7,1-2,7-1,6-1,2-7,3-7,2-8,5-8,7-8,1-8,8-2,8-8,1-3,7-7,7-2,8-1,1-1,2-2,2-1
222,1436,2416,54,32,5-6,6-4,3-3,3-4,4-3,4-6,6-5,6-6,3-5,5-3,6-3,5-2,7-4,7-5,6-2,7-3,6-1,5-1,8-4,8-5,3-7,8-3,4-2,7-1,5-7,4-7,4-8,3-6,2-5,4-1,7-6,5-8,3-1,2-1,3-2,8-6,6-8,2-8,7-7,6-7,3-8,8-8,1-8,2-4,2-6,1-7,1-5,1-6,1-4,2-7,1-3,2-3,7-2,8-2,7-8,1-2,1-1,8-7,8-1,2-2
222,2173,1708,25,33,5-6,6-6,6-5,4-6,6-7,5-3,4-7,5-7,3-6,3-5,4-3,3-7,5-8,7-6,7-5,3-4,2-3,4-2,2-6,6-8,7-8,3-3,2-4,1-6,4-8,3-8,2-8,2-5,1-4,6-4,8-6,1-2,1-5,1-3,7-4,8-4,7-3,1-7,6-3,8-3,6-2,5-1,6-1,7-1,5-2,8-5,3-1,7-2,8-1,8-2,4-1,7-7,2-2,3-2,2-1,1-1,8-7,8-8,2-7,1-8
222,2004,1971,30,22,5-6,6-6,6-5,4-6,3-5,7-4,3-4,6-4,7-5,8-4,3-7,5-3,4-3,3-6,5-2,6-3,7-3,7-6,2-6,4-7,4-8,2-5,8-3,2-3,1-4,1-5,1-6,5-7,8-5,2-4,3-2,4-2,3-1,4-1,5-1,6-1,7-1,6-2,7-2,8-6,8-7,2-8,6-7,6-8,5-8,3-8,1-3,7-7,3-3,2-2,1-2,1-1,2-1,8-1,8-8,8-2,7-8,2-7,1-8,1-7
222,1708,2141,34,33,5-6,6-4,4-3,3-4,3-3,4-6,3-5,3-6,4-7,3-7,5-7,6-6,6-7,2-5,2-4,4-8,5-8,6-5,5-3,6-3,1-5,5-2,2-6,6-8,6-1,1-6,6-2,4-1,1-7,4-2,3-8,2-8,5-1,7-1,3-2,1-3,1-4,1-8,2-7,2-3,2-1,2-2,1-1,1-2,7-3,7-5,3-1,7-2,8-6,8-2,8-3,8-5,7-6,8-7,8-4,7-4,8-8,7-7,8-1,7-8
222,1708,2135,21,27,5-6,6-4,3-3,3-4,4-3,4-6,5-3,3-2,2-3,3-5,2-4,6-3,4-2,3-1,3-7,4-7,5-2,4-1,2-6,3-6,6-1,1-5,3-8,5-8,1-4,6-7,1-6,6-5,4-8,2-5,6-8,5-7,7-6,6-2,7-1,1-2,7-4,6-6,7-3,8-4,8-5,5-1,1-3,2-2,8-3,8-1,7-5,8-6,7-7,7-2,1-1,8-2,2-1,8-7,2-7,1-8,1-7,2-8,7-8,8-8
222,1998,1708,14,17,5-6,6-6,6-5,4-6,3-5,5-3,4-3,6-4,7-4,6-3,7-5,3-6,6-7,7-6,3-4,5-7,8-5,8-3,4-8,2-5,4-7,3-8,2-4,5-8,6-8,7-8,1-5,3-7,8-4,8-6,6-2,7-3,7-7,6-1,2-6,5-2,7-2,8-8,8-7,7-1,5-1,4-1,8-1,8-2,3-1,4-2,3-2,3-3,2-3,1-3,2-7,1-8,2-8,1-4,1-2,1-7,1-6,1-1,2-1,2-2
222,2471,1708,27,25,5-6,6-4,5-3,4-6,3-4,3-5,4-7,5-7,6-5,4-3,2-5,2-4,3-6,7-5,2-6,3-3,4-2,1-5,6-6,3-2,6-8,4-1,7-3,7-4,6-3,7-6,3-1,5-2,1-6,8-3,1-3,1-7,6-1,2-1,8-4,8-5,6-2,6-7,8-6,8-7,7-2,3-8,5-8,8-1,8-2,7-7,2-2,2-7,3-7,2-8,1-8,4-8,1-4,1-1,2-3,1-2,8-8,7-8,5-1,7-1
222,2763,1708,11,15,5-6,6-4,5-3,4-6,7-4,6-6,3-4,6-3,6-2,3-3,3-5,4-3,5-7,6-7,7-5,7-6,8-6,6-5,5-8,5-2,4-1,6-8,7-8,3-7,4-2,8-3,8-5,2-6,2-3,2-4,1-5,1-4,1-3,7-3,3-6,8-4,2-5,8-7,1-6,4-8,3-8,4-7,7-7,5-1,7-1,6-1,7-2,8-2,8-1,3-1,3-2,8-8,2-2,2-1,2-7,2-8,1-1,1-2,1-7,1-8
222,2200,2135,29,29,5-6,6-4,4-3,3-4,3-3,4-6,6-6,3-6,6-5,7-5,7-4,5-3,6-2,5-2,3-5,8-4,7-3,4-7,8-5,8-6,6-3,4-2,8-3,8-2,4-1,5-7,7-6,8-7,6-7,6-1,5-8,2-3,3-1,3-2,5-1,2-1,7-2,2-6,2-4,1-4,1-3,1-5,1-6,2-5,3-8,7-7,2-2,1-1,1-2,8-1,7-1,1-7,8-8,4-8,3-7,2-8,1-8,2-7,6-8,7-8
193,2513,2446,27,30,5-6,6-4,3-3,4-6,6-6,3-4,4-3,3-6,6-5,7-5,7-6,5-3,6-2,6-7,5-7,6-3,8-5,6-1,7-4,7-3,5-8,3-5,5-2,3-2,8-3,8-4,8-6,4-7,3-8,4-8,2-4,2-3,1-3,5-1,4-2,4-1,7-7,6-8,7-8,8-8,8-7,2-8,2-6,1-5,1-4,1-2,3-7,2-5,2-1,3-1,7-1,7-2,8-1,8-2,1-6,1-7,2-7,1-8,2-2,1-1
193,2446,1959,34,28,5-6,6-6,6-5,4-6,3-5,5-3,6-7,5-7,3-6,4-7,3-4,7-4,6-8,3-7,3-8,5-8,4-8,7-6,7-5,2-3,4-3,6-4,8-6,3-3,6-3,5-2,6-2,2-6,5-1,2-4,8-3,8-4,8-5,4-2,7-3,7-7,1-6,8-7,4-1,3-2,2-5,3-1,2-1,1-5,1-2,7-1,1-4,1-3,2-2,8-2,8-8,7-2,8-1,1-1,6-1,1-7,2-7,2-8,1-8,7-8
193,2446,2513,31,35,5-6,6-6,6-5,4-6,3-5,3-4,3-6,5-3,5-7,4-7,7-6,7-4,7-5,6-7,3-8,8-5,6-8,4-8,8-6,5-8,8-4,6-4,3-3,2-3,1-3,3-2,4-1,2-7,3-7,2-4,2-5,1-5,4-3,4-2,1-4,6-3,5-1,2-1,3-1,6-1,8-3,7-3,8-2,7-2,5-2,1-6,8-1,1-2,6-2,2-2,2-6,1-7,1-8,2-8,1-1,7-1,7-7,8-8,8-7,7-8
22,22,20,39,29,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-4,6-7,8-6,7-6,5-7,6-8,4-8,4-7,3-8,3-7,5-8,2-8,2-4,5-3,6-3,4-2,3-5,2-3,2-6,1-4,3-1,1-5,1-6,2-5,3-2,8-3,8-4,8-5,8-2,1-7,8-7,5-2,4-1,6-1,1-3,1-2,5-1,2-1,2-7,7-3,6-2,7-2,8-1,7-1,2-2,1-1,7-7,8-8,7-8,1-8
22,20,22,51,45,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-4,6-7,8-6,7-6,5-7,4-7,3-8,4-8,5-8,6-8,7-8,5-3,4-2,8-3,8-4,6-3,3-7,5-2,5-1,3-1,4-1,3-5,2-1,7-3,8-2,2-8,1-8,7-7,2-3,3-2,6-2,1-4,1-3,1-2,2-4,2-5,2-6,2-2,1-5,1-6,1-1,7-2,1-7,2-7,8-1,7-1,6-1,8-8,8-7,8-5
22,2408,22,28,23,5-6,6-4,4-3,3-4,5-3,4-6,2-5,2-4,3-5,3-3,3-6,1-6,6-5,6-7,2-3,7-4,7-6,7-5,5-8,5-7,6-6,6-8,7-8,6-3,8-5,4-7,4-8,3-7,1-3,4-2,3-8,1-4,4-1,2-6,6-2,7-3,8-4,8-3,8-2,3-1,5-1,5-2,3-2,6-1,7-2,8-1,7-1,8-6,8-7,8-8,7-7,2-7,1-8,1-7,2-8,1-5,2-2,1-1,2-1,1-2
22,22,200,44,29,5-6,6-4,5-3,4-6,3-5,6-3,3-4,6-6,6-5,7-4,4-7,4-3,5-7,3-3,7-6,2-4,7-5,2-6,8-3,3-6,7-3,8-4,2-5,8-2,1-6,6-7,1-3,8-7,8-6,8-5,2-3,1-4,1-5,5-8,3-2,3-8,4-2,3-7,6-2,5-2,6-1,4-1,3-1,5-1,2-2,2-7,1-7,1-2,1-1,2-1,4-8,6-8,7-7,8-8,7-8,2-8,1-8,7-1,8-1,7-2
22,1922,22,16,21,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-4,6-7,8-6,7-6,5-7,4-7,2-4,8-4,3-5,8-3,5-8,7-3,4-8,3-8,2-8,3-7,8-7,8-5,8-2,2-5,6-3,6-8,7-8,5-3,1-6,1-5,1-4,2-3,5-2,1-3,1-2,2-7,1-8,1-7,2-6,1-1,3-2,2-1,4-1,2-2,4-2,3-1,6-2,7-1,6-1,5-1,7-7,8-8,8-1,7-2
22,1432,22,29,31,5-6,6-4,3-3,3-4,4-3,4-6,5-3,4-2,5-2,6-3,3-5,2-3,6-2,5-1,7-4,6-1,3-2,7-5,7-3,4-1,1-3,8-4,8-3,6-5,8-6,8-5,6-6,7-6,3-7,4-7,3-8,5-7,6-8,2-5,2-4,3-6,2-1,1-5,6-7,7-7,1-6,3-1,7-1,1-4,2-6,7-8,8-8,8-7,7-2,8-1,8-2,1-1,1-2,5-8,2-2,4-8,1-7,1-8,2-8,2-7
22,22,153,21,25,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-4,6-7,8-6,5-3,6-3,4-2,5-7,6-8,4-8,4-7,2-4,2-5,3-5,5-2,3-7,7-6,2-6,8-5,5-8,3-8,6-2,8-7,3-1,1-3,4-1,3-2,1-4,2-3,1-2,1-6,1-5,1-1,2-7,1-8,2-8,5-1,6-1,1-7,7-7,7-3,8-3,7-1,8-1,8-2,8-4,7-2,8-8,7-8,2-1,2-2
22,22,179,50,39,5-6,6-4,3-3,4-6,6-6,3-6,3-4,4-3,3-5,2-5,4-7,2-6,2-4,6-5,2-3,3-7,5-7,4-8,7-5,3-2,7-3,1-5,1-3,1-4,6-3,6-8,1-6,6-7,5-8,7-4,7-6,3-8,8-5,7-7,4-2,5-3,5-2,8-7,8-6,8-4,8-3,3-1,1-2,4-1,6-2,8-2,7-2,7-1,6-1,5-1,8-1,2-7,1-8,1-7,2-8,1-1,8-8,7-8,2-2,2-1
22,22,168,54,45,5-6,6-4,3-3,3-6,3-4,4-6,6-6,4-3,3-5,2-6,2-5,3-2,6-3,1-5,6-5,7-5,7-4,5-3,5-2,4-2,7-3,8-4,8-3,5-1,2-4,1-4,2-3,8-2,8-6,6-2,4-7,3-7,3-8,5-8,1-3,1-2,4-8,2-8,5-7,6-8,6-7,7-8,8-5,8-7,2-7,7-6,1-6,1-8,1-7,2-2,1-1,7-2,2-1,3-1,4-1,6-1,7-1,8-1,8-8,7-7
22,22,547,52,47,5-6,6-4,5-3,4-6,3-5,6-3,6-5,3-4,4-3,3-6,7-4,6-2,3-3,5-2,4-2,7-5,6-6,8-5,8-3,7-3,5-1,3-1,4-1,6-1,8-6,8-7,3-2,2-4,2-5,5-7,6-7,7-6,1-3,2-3,3-7,4-7,6-8,4-8,5-8,7-8,7-2,1-6,1-5,1-4,2-6,1-2,8-4,1-7,3-8,2-7,8-8,7-7,8-2,8-1,7-1,2-8,1-8,2-2,2-1,1-1
22,20,2408,17,26,5-6,6-6,6-5,4-6,3-5,6-4,5-7,3-4,3-3,3-7,6-7,3-6,7-5,5-8,4-8,3-8,4-7,2-5,4-3,5-3,2-6,2-4,1-4,1-6,6-2,1-5,1-7,7-4,7-6,6-8,7-7,8-4,8-5,8-8,2-3,1-3,1-2,5-2,6-1,2-7,6-3,8-6,1-8,2-8,7-8,8-3,7-3,8-2,7-2,8-1,7-1,4-1,4-2,3-1,5-1,8-7,2-1,3-2,2-2,1-1
22,94,20,19,33,5-6,6-4,4-3,3-4,5-3,4-6,2-5,2-4,3-5,3-6,6-5,6-3,7-4,3-3,5-7,4-7,2-6,1-6,3-7,4-8,5-8,6-7,6-6,6-8,1-5,3-8,1-7,7-3,6-2,5-1,6-1,5-2,8-3,7-1,3-2,7-6,1-4,2-3,4-2,1-3,1-2,4-1,2-7,2-2,8-6,7-7,3-1,1-1,2-1,2-8,8-8,1-8,7-8,7-5,8-1,8-7,7-2,8-4,8-5,8-2
22,200,20,41,38,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-4,6-7,8-6,7-6,5-7,6-8,4-8,8-5,8-4,5-3,6-3,4-2,2-4,5-2,3-5,6-2,7-3,2-5,1-5,3-2,2-6,3-7,4-7,1-3,3-8,1-7,1-6,1-4,8-7,5-8,7-8,8-2,7-7,8-8,8-3,2-8,8-1,7-2,7-1,6-1,5-1,4-1,3-1,2-7,1-8,2-1,2-2,1-2,1-1,2-3
22,20,2404,49,47,5-6,6-4,3-3,3-4,4-3,4-6,6-6,5-7,6-3,5-3,3-5,4-2,5-2,3-2,6-2,7-5,4-1,3-1,5-1,2-6,2-3,7-3,2-1,7-1,8-3,2-4,6-5,7-4,8-6,8-2,1-5,8-5,2-5,1-4,1-3,8-4,3-6,8-7,1-6,2-7,1-8,4-7,1-7,7-2,3-7,2-8,3-8,4-8,6-7,2-2,5-8,7-8,6-1,1-1,8-1,6-8,8-8,7-7,7-6,1-2
22,20,1922,47,27,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-4,6-7,8-6,7-6,5-7,6-8,4-8,8-5,8-4,5-3,6-3,4-2,2-4,5-2,6-2,2-5,3-5,5-8,7-8,4-7,1-6,2-6,3-8,3-7,2-8,3-2,2-3,1-3,1-7,8-3,1-5,8-7,6-1,7-3,5-1,1-4,1-2,3-1,4-1,7-1,7-7,2-2,1-1,2-1,7-2,8-1,8-2,2-7,8-8,1-8
22,1432,20,1,27,5-6,6-4,3-3,3-4,4-3,4-6,6-5,6-6,3-5,5-3,6-3,6-2,7-3,5-2,7-4,7-5,7-6,8-5,8-4,8-6,4-2,3-6,8-7,3-1,6-7,2-6,2-5,1-5,3-7,5-7,6-8,5-8,1-4,4-7,1-6,3-2,4-8,2-8,4-1,5-1,3-8,7-8,7-1,8-3,8-2,6-1,2-1,2-7,7-2,8-1,8-8,7-7,1-1,2-2,2-3,1-3,1-2,2-4,1-7,0-0
22,20,153,52,38,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-4,6-7,8-6,7-6,5-7,6-8,4-8,4-7,3-8,5-8,7-8,5-3,4-2,8-5,8-4,3-2,3-7,6-3,3-5,4-1,7-3,2-5,2-6,1-6,5-2,2-4,2-3,6-1,1-3,6-2,3-1,1-4,8-7,5-1,2-2,2-1,1-1,1-2,7-1,7-2,8-1,8-3,8-2,7-7,8-8,1-7,1-8,1-5,2-7,2-8
22,168,20,24,10,5-6,6-4,5-3,4-6,3-5,6-3,6-5,7-6,3-6,5-2,7-4,7-5,7-3,6-6,6-2,8-4,8-3,8-5,5-1,4-3,3-4,6-1,7-1,3-2,4-2,3-3,2-4,3-1,6-7,2-3,8-6,1-5,1-3,2-2,1-1,1-2,2-1,4-1,7-2,8-1,6-8,5-8,8-2,7-8,8-7,5-7,4-7,3-7,2-5,1-4,2-6,1-6,2-7,2-8,4-8,3-8,1-8,1-7,8-8,7-7
22,2408,200,41,32,5-6,6-4,5-3,4-6,3-5,6-3,6-5,7-6,7-4,6-6,5-2,2-5,3-6,2-6,5-7,3-3,4-7,3-7,3-4,3-8,4-8,6-8,5-8,6-7,7-3,2-3,7-5,4-3,8-6,8-4,8-5,8-7,7-7,4-2,2-4,5-1,6-2,6-1,7-2,8-1,1-6,1-7,1-8,8-2,2-8,2-7,1-5,1-3,1-4,8-8,7-8,8-3,1-2,2-2,2-1,1-1,3-1,4-1,7-1,3-2
22,2404,2408,32,34,5-6,6-6,6-5,4-6,3-5,6-4,4-7,3-6,3-7,4-8,5-3,3-3,7-3,7-4,4-3,6-3,6-7,5-7,7-5,7-6,6-8,3-4,5-8,7-8,8-6,7-7,2-4,2-3,5-2,6-2,2-5,3-2,4-2,1-5,3-1,1-4,1-6,5-1,6-1,4-1,7-2,1-7,1-2,2-2,1-3,1-1,2-1,2-6,3-8,2-7,8-8,8-1,7-1,8-2,8-3,8-4,1-8,2-8,8-5,8-7
22,1922,2408,11,15,5-6,6-6,6-5,4-6,3-5,6-4,4-7,3-6,5-7,3-4,2-6,6-8,4-3,5-3,2-3,2-4,7-3,6-3,7-5,3-3,5-8,6-7,7-6,4-8,3-8,2-8,3-7,7-4,1-3,2-5,8-4,1-6,1-5,7-8,6-2,8-6,5-2,8-5,8-7,4-2,3-1,4-1,5-1,3-2,2-7,1-4,2-1,1-2,2-2,1-1,7-7,6-1,7-1,8-8,7-2,8-1,8-2,8-3,1-7,0-0
22,2408,153,24,23,5-6,6-4,5-3,4-6,3-5,6-3,6-5,5-7,6-6,7-4,7-5,7-3,4-3,3-6,8-4,8-3,7-6,2-5,4-7,5-8,3-8,3-7,2-8,6-7,2-4,5-2,4-2,8-6,8-2,3-4,5-1,6-2,8-5,8-1,1-5,2-6,1-6,7-2,3-3,2-3,3-2,1-3,6-8,1-4,1-2,7-8,2-7,6-1,4-8,1-8,1-7,1-1,7-7,8-7,8-8,2-1,2-2,3-1,4-1,7-1
22,2408,168,44,38,5-6,6-6,6-5,4-6,3-5,5-3,5-7,3-4,6-4,2-5,4-7,6-7,7-6,5-8,4-8,8-5,8-6,7-3,8-4,7-4,6-8,3-6,6-2,8-2,6-3,7-5,4-2,6-1,5-2,3-1,3-3,2-4,4-3,5-1,2-3,3-2,8-3,8-7,3-7,1-4,2-2,2-8,1-2,1-1,1-3,1-5,2-1,2-6,3-8,7-8,7-1,8-1,7-2,2-7,1-8,7-7,4-1,1-7,8-8,1-6
22,200,94,19,33,5-6,6-6,6-5,4-6,5-7,6-4,7-4,7-5,3-6,6-7,4-7,7-6,8-6,8-5,8-4,3-8,3-7,4-8,6-8,3-5,6-3,5-8,4-3,5-3,4-2,3-2,3-4,3-3,2-5,2-4,5-2,2-3,1-4,1-3,1-5,1-6,2-6,7-8,3-1,6-2,7-3,4-1,5-1,1-7,8-7,8-2,7-7,7-1,2-7,7-2,8-1,8-3,6-1,8-8,2-1,2-2,1-2,1-1,2-8,1-8
22,1922,94,11,35,5-6,6-6,6-5,4-6,3-5,5-3,4-3,7-5,6-3,2-5,3-6,4-7,5-7,6-7,7-4,6-4,8-5,5-2,6-2,7-6,2-6,2-4,1-5,1-6,3-7,8-3,8-4,8-6,1-7,3-3,3-4,1-4,1-3,3-2,5-1,3-8,3-1,2-2,4-2,7-3,1-1,4-1,6-1,2-1,5-8,1-2,4-8,6-8,7-7,8-8,7-2,8-1,8-2,7-1,8-7,2-3,1-8,2-7,2-8,7-8
22,94,1432,19,32,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,3-5,5-7,6-3,2-5,6-7,5-3,7-4,4-2,3-2,5-2,2-3,6-5,7-6,2-4,1-4,7-5,3-7,3-8,1-6,1-5,8-5,6-8,7-3,8-6,6-1,5-1,4-1,6-2,7-1,8-4,8-3,8-2,4-7,2-6,5-8,3-1,2-1,4-8,7-7,8-8,1-7,1-8,1-3,1-2,7-8,8-7,2-8,2-7,7-2,8-1,2-2,1-1
22,153,94,29,32,5-6,6-6,6-5,4-6,5-7,6-4,7-5,6-7,3-5,7-6,3-3,5-8,6-3,5-3,6-2,8-4,8-5,8-6,4-7,5-2,4-1,3-4,3-6,7-4,7-3,6-1,4-3,5-1,7-1,4-2,8-3,8-2,3-2,2-2,7-8,6-8,4-8,3-8,2-8,2-1,2-4,2-3,2-5,3-7,2-6,1-3,1-5,1-6,7-7,1-4,2-7,3-1,1-1,1-2,8-7,8-8,1-7,1-8,7-2,8-1
22,340,94,30,35,5-6,6-6,6-5,4-6,3-5,5-3,4-3,7-5,6-3,2-5,3-6,2-6,5-7,4-7,6-7,6-4,3-8,3-4,7-6,8-6,7-4,8-3,3-7,6-8,8-4,8-5,2-3,3-2,3-3,2-4,1-6,5-8,4-8,1-5,1-4,7-3,3-1,2-8,7-7,2-7,1-8,1-7,7-8,5-2,5-1,6-2,6-1,4-2,4-1,2-1,1-1,2-2,1-2,1-3,8-7,8-8,8-2,7-1,8-1,7-2
22,200,2404,37,35,5-6,6-4,3-3,3-4,4-3,4-6,6-6,4-2,3-6,6-5,3-5,5-7,6-7,4-7,4-8,5-8,6-8,3-7,3-8,7-6,8-6,2-6,1-6,2-5,2-3,3-2,1-5,1-3,5-3,1-4,2-4,1-7,5-2,6-3,3-1,6-1,2-2,4-1,1-2,1-1,2-1,7-4,8-4,8-3,8-2,7-7,7-5,8-5,7-8,7-3,8-8,8-7,2-7,8-1,7-2,1-8,2-8,6-2,5-1,7-1
22,451,200,17,24,5-6,6-4,4-3,3-4,5-3,4-6,3-5,3-6,4-7,6-7,7-4,3-3,6-6,6-5,2-6,5-7,2-5,3-8,7-5,1-6,3-2,1-4,3-7,2-4,6-8,2-3,4-8,5-8,2-8,7-6,8-5,4-1,1-3,4-2,1-5,1-2,5-2,1-7,5-1,6-1,6-2,7-1,2-1,6-3,7-3,7-2,2-7,1-8,7-7,8-3,8-4,8-6,8-7,3-1,8-1,8-2,2-2,1-1,7-8,8-8
22,153,200,31,33,5-6,6-4,4-3,3-4,3-3,4-6,6-5,3-2,2-5,5-3,7-3,3-5,2-4,6-6,3-6,2-3,4-7,7-4,7-6,7-5,6-3,3-7,5-7,1-6,1-5,5-2,2-6,1-4,8-5,8-3,6-2,4-8,4-1,6-8,1-2,8-4,8-6,8-7,4-2,3-1,2-1,5-1,6-1,1-7,6-7,5-8,2-2,1-3,1-8,2-7,2-8,3-8,7-7,1-1,7-8,7-1,7-2,8-8,8-2,8-1
22,200,179,43,37,5-6,6-4,3-3,4-6,6-6,3-6,3-4,4-3,3-5,2-5,4-7,6-5,2-4,2-6,2-3,3-2,1-6,1-5,1-4,1-3,1-2,5-7,7-5,7-4,3-7,6-7,6-8,8-6,8-5,8-4,7-6,5-8,4-8,8-7,4-1,2-8,3-8,7-8,7-3,5-3,4-2,2-7,6-2,5-2,6-1,8-2,6-3,7-2,8-3,8-1,7-1,5-1,8-8,3-1,2-2,1-7,1-8,2-1,7-7,1-1
22,547,200,24,19,5-6,6-4,5-3,4-6,3-5,6-3,3-6,6-7,6-5,6-6,5-7,3-3,4-3,3-4,2-5,2-3,7-6,7-5,2-4,5-8,4-8,3-8,8-5,7-4,8-4,8-3,6-2,4-7,7-8,8-6,3-7,8-7,4-2,1-5,1-6,1-3,1-4,1-7,2-6,2-8,7-3,8-2,7-2,8-1,5-2,7-1,6-1,2-7,1-8,6-8,2-2,1-2,1-1,5-1,4-1,3-1,7-7,8-8,3-2,2-1
22,2404,1432,47,44,5-6,6-4,3-3,3-4,4-3,4-6,6-6,5-7,6-5,5-3,3-6,3-5,4-7,7-6,7-5,6-7,6-8,8-6,6-2,4-2,7-4,5-8,4-8,8-3,7-3,2-6,2-5,6-3,3-7,6-1,2-3,1-6,1-4,3-2,7-8,2-4,1-3,2-7,5-2,3-8,1-8,2-8,7-7,5-1,3-1,1-2,1-1,2-1,2-2,4-1,7-1,8-8,1-5,7-2,8-2,8-1,8-7,8-5,8-4,1-7
22,153,2404,32,25,5-6,6-4,4-3,3-4,3-3,4-6,6-5,3-2,2-5,5-3,6-3,6-6,5-7,3-5,6-7,7-4,3-7,3-6,2-6,7-3,2-4,7-5,2-3,1-3,3-1,1-4,4-2,5-2,7-6,4-1,6-1,2-1,1-5,1-6,6-2,3-8,2-7,6-8,5-8,4-8,7-7,4-7,2-8,7-1,8-1,8-8,7-8,8-7,8-2,7-2,8-3,8-4,8-5,1-8,1-7,5-1,1-1,8-6,2-2,1-2
22,2404,179,43,41,5-6,6-4,3-3,3-4,4-3,4-6,6-6,3-6,6-5,7-5,7-4,6-7,8-4,7-6,2-4,5-3,6-3,8-3,8-2,7-3,8-5,6-2,5-2,8-6,8-7,5-1,3-5,4-2,3-1,4-1,3-2,7-2,6-8,2-6,2-5,7-7,5-7,3-7,4-7,4-8,5-8,3-8,2-8,1-6,1-4,1-5,1-7,2-2,1-1,2-1,2-3,2-7,6-1,8-1,7-1,8-8,1-8,7-8,1-2,1-3
22,547,2404,9,11,5-6,6-4,5-3,4-6,3-4,4-3,3-5,6-5,3-6,3-3,6-3,2-4,4-2,2-5,7-6,6-6,7-5,6-7,2-6,7-4,1-3,1-4,1-6,1-5,2-3,5-7,4-7,3-8,8-5,8-3,7-3,8-6,6-8,8-4,5-8,8-2,7-7,8-7,7-2,4-8,2-8,8-8,7-8,1-8,1-7,2-7,7-1,8-1,6-1,5-1,3-7,6-2,1-2,2-2,5-2,4-1,3-1,2-1,1-1,3-2
22,2404,1921,41,53,5-6,6-4,3-3,3-6,4-6,3-7,6-5,6-6,5-7,4-7,3-5,2-5,5-3,6-3,3-4,6-8,4-8,5-2,5-8,3-8,6-7,7-6,2-4,1-3,2-6,2-3,7-5,4-3,1-4,8-6,1-2,7-4,7-7,1-5,1-6,8-8,4-2,4-1,3-2,3-1,6-2,2-7,7-8,7-1,1-8,1-7,2-8,1-1,7-2,8-2,8-7,7-3,2-2,2-1,6-1,5-1,8-1,8-3,8-4,8-5
